group,id,sw id,tcode,sw factors,fred,sw,description
Household Balance Sheets,175,185,5,1,TARESAx,Real HHW:TA_RESA,"Real Assets of Households and Nonprofit Organizations excluding Real Estate Assets (Billions of 2012 Dollars), deflated by Core PCE"
Household Balance Sheets,176,186,5,1,HNOREMQ027Sx,Real HHW:RESA,"Real Real Estate Assets of Households and Nonprofit Organizations (Billions of 2012 Dollars), deflated by Core PCE"
Household Balance Sheets,177,188,5,1,TFAABSHNOx,Real HHW:FinSA,"Real Total Financial Assets of Households and Nonprofit Organizations (Billions of 2012 Dollars), deflated by Core PCE"
Household Balance Sheets,224,n.a.,2,0,CONSPIx,n.a.,Nonrevolving consumer credit to Personal Income
Exchange Rates,182,193,5,1,TWEXAFEGSMTHx,Ex rate:major,Trade Weighted U.S. Dollar Index: Advanced Foreign Currencies (Index Jan 2006=100)
Exchange Rates,183,194,5,1,EXUSEU,Ex rate:Euro,U.S. / Euro Foreign Exchange Rate (U.S. Dollars to One Euro)
Exchange Rates,184,195,5,1,EXSZUSx,Ex rate:Switz,Switzerland / U.S. Foreign Exchange Rate
Exchange Rates,185,196,5,1,EXJPUSx,Ex rate:Japan,Japan / U.S. Foreign Exchange Rate
Exchange Rates,186,197,5,1,EXUSUKx,Ex rate:UK,U.S. / U.K. Foreign Exchange Rate
Exchange Rates,187,198,5,1,EXCAUSx,EX rate:Canada,Canada / U.S. Foreign Exchange Rate
Other,188,199,1,1,UMCSENTx,Cons. Expectations,University of Michigan: Consumer Sentiment (Index 1st Quarter 1966=100)
Other,189,200,2,1,USEPUINDXM,PolicyUncertainty,Economic Policy Uncertainty Index for United States
Stock Markets,178,189,1,1,VXOCLSx,VXO,CBOE S&P 100 Volatility Index: VXO
Stock Markets,231,n.a.,5,0,NIKKEI225,n.a.,Nikkei Stock Average
Stock Markets,232,n.a.,5,0,NASDAQCOM,n.a.,"NASDAQ Composite (Index Feb 5, 1971=100)"
Stock Markets,245,180,5,0,S&P 500,n.a.,S&P’s Common Stock Price Index: Composite
Stock Markets,246,n.a.,5,0,S&P: indust,n.a.,S&P’s Common Stock Price Index: Industrials
Stock Markets,247,n.a.,2,0,S&P: div yield,n.a.,S&P’s Composite Common Stock: Dividend Yield
Stock Markets,248,n.a.,5,0,S&P PE ratio,n.a.,S&P’s Composite Common Stock: Price-Earnings Ratio
Non-Household Balance Sheets,192,n.a.,2,0,GFDEGDQ188S,n.a.,Federal Debt: Total Public Debt as Percent of GDP (Percent)
Non-Household Balance Sheets,193,n.a.,2,0,GFDEBTNx,n.a.,"Real Federal Debt: Total Public Debt (Millions of 2012 Dollars), deflated by PCE"
Non-Household Balance Sheets,234,n.a.,5,0,TLBSNNCBx,n.a.,"Real Nonfinancial Corporate Business Sector Liabilities (Billions of 2012 Dollars), Deflated by Implicit Price Deflator for Business Sector IPDBS"
Non-Household Balance Sheets,235,n.a.,1,0,TLBSNNCBBDIx,n.a.,Nonfinancial Corporate Business Sector Liabilities to Disposable Business Income (Percent)
Non-Household Balance Sheets,236,n.a.,5,0,TTAABSNNCBx,n.a.,"Real Nonfinancial Corporate Business Sector Assets (Billions of 2012 Dollars), Deflated by Implicit Price Deflator for Business Sector IPDBS"
Non-Household Balance Sheets,237,n.a.,5,0,TNWMVBSNNCBx,n.a.,"Real Nonfinancial Corporate Business Sector Net Worth (Billions of 2012 Dollars), Deflated by Implicit Price Deflator for Business Sector IPDBS"
Non-Household Balance Sheets,238,n.a.,2,0,TNWMVBSNNCBBDIx,n.a.,Nonfinancial Corporate Business Sector Net Worth to Disposable Business Income (Percent)
Non-Household Balance Sheets,239,n.a.,5,0,TLBSNNBx,n.a.,"Real Nonfinancial Noncorporate Business Sector Liabilities (Billions of 2012 Dollars), Deflated by Implicit Price Deflator for Business Sector IPDBS"
Non-Household Balance Sheets,240,n.a.,1,0,TLBSNNBBDIx,n.a.,Nonfinancial Noncorporate Business Sector Liabilities to Disposable Business Income (Percent)
Non-Household Balance Sheets,241,n.a.,5,0,TABSNNBx,n.a.,"Real Nonfinancial Noncorporate Business Sector Assets (Billions of 2012 Dollars), Deflated by Implicit Price Deflator for Business Sector IPDBS"
Non-Household Balance Sheets,242,n.a.,5,0,TNWBSNNBx,n.a.,"Real Nonfinancial Noncorporate Business Sector Net Worth (Billions of 2012 Dollars), Deflated by Implicit Price Deflator for Business Sector IPDBS"
Non-Household Balance Sheets,243,n.a.,2,0,TNWBSNNBBDIx,n.a.,Nonfinancial Noncorporate Business Sector Net Worth to Disposable Business Income (Percent)
Non-Household Balance Sheets,244,n.a.,5,0,CNCFx,n.a.,"Real Disposable Business Income, Billions of 2012 Dollars (Corporate cash flow with IVA minus taxes on corporate income, deflated by Implicit Price Deflator for Business Sector IPDBS)"
